time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
163,1187.0943396226414,389,31,63488,-12.833807641509434,0.04089822620153427,300,0.03230203,0.8623039126396179,0.12238352280110121,0.7340318560600281,-0.012718157593917567,0.003,0.2583984375,-2.5297056905925275,0.2,,
168,1187.5636363636363,389,32,65536,-12.16749932727273,0.0032182522118091583,310,0.03168103,0.8281481862068176,0.2067328319652006,0.143460214138031,-0.009250290943600702,0.003,0.2478515625,-2.483176273107529,0.2,,
173,1187.7857142857142,389,33,67584,-12.255595732142856,0.03996358811855316,320,0.03880404,0.8383034467697144,0.17748490904923528,0.1653420329093933,-0.011705081131367479,0.003,0.275927734375,-2.4894997633993627,0.2,,
178,1188.2068965517242,389,34,69632,-13.017200206896552,0.07156778872013092,330,0.03785749,0.8248662352561951,0.3087551021017134,0.3915177583694458,-0.006684630224481225,0.003,0.283544921875,-2.453857674449682,0.2,,
183,1171.688524590164,389,35,71680,-12.695179704918033,0.05580590292811394,340,0.0388557,0.8179613351821899,0.5816261161351577,0.36417341232299805,-0.011750798021967056,0.003,0.244921875,-2.447441316395998,0.2,,
189,1172.1451612903227,389,36,73728,-12.672340467741936,0.32002711296081543,350,0.033830024,0.7994409799575806,1.6436304532457142,0.5033157765865326,-0.014960370809421874,0.003,0.245751953125,-2.4095829121768473,0.2,,
194,1162.6923076923076,389,37,75776,-13.769235892307693,0.06829030811786652,360,0.035255924,0.7951735854148865,0.4280816690530628,0.47962743043899536,-0.014215428357420023,0.003,0.259033203125,-2.4005733713507653,0.2,,
199,1146.686567164179,389,38,77824,-13.932693776119404,0.06728065013885498,370,0.045255743,0.7835088968276978,1.1787925706710667,0.6579290926456451,-0.015181351791397901,0.003,0.270166015625,-2.358050075173378,0.2,,
204,1148.231884057971,389,39,79872,-13.017257710144928,0.01961810141801834,380,0.06372793,0.7849228382110596,0.3782104181824252,0.6406126618385315,-0.01796681088890182,0.003,0.317724609375,-2.3500115148723126,0.2,,
210,1149.6901408450703,389,40,81920,-11.91750553521127,0.06112738698720932,390,0.040605925,0.7885010242462158,0.9553306942805648,0.687464028596878,-0.012667386649991386,0.003,0.25556640625,-2.367034964263439,0.2,,
215,1150.388888888889,389,41,83968,-11.404403583333332,0.0917661190032959,400,0.045038193,0.7714812755584717,0.5252881205640734,0.6919215619564056,-0.008855112946184818,0.003,0.315283203125,-2.333600539714098,0.2,,
221,1151.7297297297298,389,42,86016,-11.825467797297296,0.08849018067121506,410,0.058726903,0.7407494783401489,0.42388061278034,0.8001795262098312,-0.018833976329005964,0.003,0.3333984375,-2.2587915249168873,0.2,,
226,1153.0,389,43,88064,-12.21445114473684,0.035414211452007294,420,0.03918694,0.7584556937217712,0.430408829159569,0.6489025056362152,-0.01051515962171834,0.003,0.302587890625,-2.2584600001573563,0.2,,
231,1154.2051282051282,389,44,90112,-12.328621064102562,0.07540635019540787,430,0.055462025,0.7512422800064087,0.2997950427699834,0.6974685490131378,-0.010117433256527874,0.003,0.36044921875,-2.2887833453714848,0.2,,
236,1154.7848101265822,388,45,92160,-12.352583734177214,0.028033986687660217,440,0.045543477,0.7407578229904175,0.31645987029187383,0.25559914112091064,-0.011687272318522447,0.003,0.33994140625,-2.2464962236583235,0.2,,
242,1155.9012345679012,388,46,94208,-12.374232481481481,0.07452529668807983,450,0.050809618,0.7418225407600403,0.31021817608270796,0.6246756315231323,-0.016049723322794307,0.003,0.31162109375,-2.248486761748791,0.2,,
247,1156.9638554216867,388,47,96256,-12.433328614457832,0.06329109519720078,460,0.06700663,0.7351336479187012,0.2673369275638834,0.8439433425664902,-0.014098989374178927,0.003,0.36865234375,-2.2160131044685842,0.2,,
253,1151.035294117647,388,48,98304,-11.997916811764705,0.17654438316822052,470,0.04974115,0.7387766242027283,0.5661872784374282,0.5582681596279144,-0.018343669472960754,0.003,0.325537109375,-2.240743092447519,0.2,,
,,,,100000,,-0.003689482808113098,480,0.057472847,0.7157256007194519,0.7494139685528353,0.1658051609992981,-0.013281518808798864,0.003,0.34111328125,-2.1902972981333733,0.2,0.8313530013254692,1176.1
278,1152.16091954023,360,49,100352,-12.598174126436781,,,,,,,,,,,,,
283,1152.7045454545455,360,50,102400,-12.534417875,0.12498732656240463,490,0.0618236,0.7016277313232422,0.6600110534578562,0.5557136833667755,-0.016889436503697654,0.003,0.3353515625,-2.1359478309750557,0.2,,
289,1153.7555555555555,361,51,104448,-12.567866077777778,0.03992094844579697,500,0.05405148,0.6879346370697021,0.39909830116666856,0.14441174268722534,-0.012665169256797526,0.003,0.321240234375,-2.1010296300053595,0.2,,
294,1154.7608695652175,361,52,106496,-12.249921239130433,0.03856079652905464,510,0.07279964,0.6762978434562683,0.18514682740205898,0.7824219465255737,-0.004456940168165602,0.003,0.377734375,-2.0885779812932013,0.2,,
300,1155.247311827957,361,53,108544,-12.27369346236559,0.016744229942560196,520,0.06262846,0.6733900308609009,0.2639783583814278,0.12723135948181152,-0.013495255248562899,0.003,0.349609375,-2.0492543786764146,0.2,,
305,1156.1894736842105,362,54,110592,-12.330984431578946,0.040582604706287384,530,0.06714108,0.6492234468460083,0.2225578469922766,0.16032153367996216,-0.011318812166427961,0.003,0.385791015625,-2.0024930622428654,0.2,,
310,1157.0927835051546,362,55,112640,-11.272791649484535,0.0401017889380455,540,0.07072753,0.6529637575149536,0.49298818287206814,0.6857399344444275,-0.014311344238376478,0.003,0.36875,-1.9774410653859378,0.2,,
316,1157.959595959596,362,56,114688,-11.235620969696967,0.08603384345769882,550,0.06862883,0.6567811965942383,1.1350141832605005,0.5702558755874634,-0.0020309259227360597,0.003,0.326318359375,-1.9961786139756441,0.2,,
